,
ADRO,
AMRT,
ANTM,
ASII,
BBCA,
BBNI,
BBRI,
BJBR,
BJTM,
BMRI,
BNGA,
BSSR,
HEXA,
HMSP,
INDF,
ITMG,
MPMX,
PTBA,
TLKM,
UNTR,
